First,Last ,Traprock,Soapstone,Goodwin,NipSouth,Solstice,Peoples,Macedonia,T2ACure,Tunxis,NipMar,Mohawk,Bimblers,Total
Brittany,Telke,*,100,100,89.02,94.03,100,*,,,,,,483.05
Melissa,Pogwizd Bertele,57.19,68.24,73.16,61.67,67.46,70.76,69.08,,,,,,467.56
Jaime,Wilson,54.8,62.04,68.97,60.56,61.26,65.25,72.72,,,,,,445.6
Catherine,Walsh,55.69,73.04,85.5,73.24,75.97,*,80.61,,,,,,444.05
Kate,Bonanno,83.87,*,88.46,87.58,*,82.89,*,,,,,,342.8
Chrystal,Thibedau,71.94,*,*,*,*,86.45,92.35,,,,,,250.74
Katherine,Lundin,65.9,67.4,*,64.19,*,*,*,,,,,,197.49
Debbie,Livingston,*,*,*,85.87,86.49,*,*,,,,,,172.36
Emma,Dolen,*,89.41,*,81.83,*,*,*,,,,,,171.24
Alison,Gallerani,*,*,*,*,80.79,85.88,*,,,,,,166.67
Shelly,Rivera,*,*,*,*,86.96,75.04,*,,,,,,162
Caitrin,Huysman,74.17,82.85,*,*,*,*,*,,,,,,157.02
Riley,Kranz,*,*,*,*,72.59,83.66,*,,,,,,156.25
Kelly,Bailey,*,*,*,*,*,76.65,77.37,,,,,,154.02
Nancy,Theinert,*,*,78.32,*,70.04,*,*,,,,,,148.36
Heather,Morton,*,*,*,67.93,71.11,*,*,,,,,,139.04
Emily,Dos Santos,*,*,69.97,*,63.27,*,*,,,,,,133.24
Kristen,Amick,*,*,*,*,65.42,65.69,*,,,,,,131.11
Sarah,Parker,*,*,*,*,63.77,63.5,*,,,,,,127.27
Cherie,Bilbie,59.52,62.04,*,*,*,*,*,,,,,,121.56
Meredith,Rhein,53.11,*,*,*,*,*,63.35,,,,,,116.46
Danielle,Casioppo,*,*,56.49,*,*,57.72,*,,,,,,114.21
Jessica,Schreiter,*,*,63.47,*,*,50.04,*,,,,,,113.51
Christy,Miller,52.92,*,*,*,60.18,*,*,,,,,,113.1
Heather,Fitzgerald,*,*,62.43,*,*,50.04,*,,,,,,112.47
Aurelie,McKenzie,48.09,*,*,*,*,63.17,*,,,,,,111.26
Suzanne,Salemi,*,*,57.93,*,51.91,*,*,,,,,,109.84
Amanda,Hatfield,47.4,*,60.05,*,*,*,*,,,,,,107.45
Elyse,Adamic,*,*,*,*,100,*,*,,,,,,100
Leslie,Forker,*,*,*,*,*,*,100,,,,,,100
Alexandra,Ross,*,*,*,100,*,*,*,,,,,,100
Inma,Zanoguera,100,*,*,*,*,*,*,,,,,,100
Jenna,Gigliotti,99.83,*,*,*,*,*,*,,,,,,99.83
Carolyn,Nye,*,*,*,*,99.58,*,*,,,,,,99.58
Lucy,Paez Stelzner,*,*,*,*,*,*,97.23,,,,,,97.23
Stephanie,White,*,95.99,*,*,*,*,*,,,,,,95.99
I-Sanna,Gibbons-Fideler,38.29,*,56.49,*,*,*,*,,,,,,94.78
Caroline,Webb,*,*,*,94.52,*,*,*,,,,,,94.52
Nichole,Ellis,*,*,*,*,*,*,91.36,,,,,,91.36
Annie,Osullivan,*,*,91.24,*,*,*,*,,,,,,91.24
Gillian,Plummer,*,*,*,*,89.84,*,*,,,,,,89.84
Shelley,Buchbinder,*,*,89.31,*,*,*,*,,,,,,89.31
Bonnie,Lathrop,88.14,*,*,*,*,*,*,,,,,,88.14
Elena,Betke,87.59,*,*,*,*,*,*,,,,,,87.59
Kerry,Arsenault,*,86.48,*,*,*,*,*,,,,,,86.48
Melissa,Strauss,*,*,*,*,86.24,*,*,,,,,,86.24
Maria,Castro,*,*,*,*,85.92,*,*,,,,,,85.92
Danielle,Lynch,*,*,*,*,85.51,*,*,,,,,,85.51
Florentien,de Ruiter,*,*,84.79,*,*,*,*,,,,,,84.79
Olivia,Lynch,*,*,*,*,84.16,*,*,,,,,,84.16
Clare,Gordon,*,*,*,*,*,*,84.09,,,,,,84.09
Ashley,Macha,*,*,*,*,*,*,83.89,,,,,,83.89
Carina,Stockdale,*,*,83.72,*,*,*,*,,,,,,83.72
Staci,Thornton,*,*,*,83.51,*,*,*,,,,,,83.51
Lori,Marcantonio,*,*,*,*,*,83.2,*,,,,,,83.2
